"chanel","folder","date","time","site","sample","volts","amps","temp_before","temp_after","irr_before","irr_after"
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",0,1.693572,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",0.341637,1.693572,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",0.340986,1.694407,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",0.621454,1.693572,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",0.808216,1.692923,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",0.991723,1.693108,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",1.177183,1.692923,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",1.364596,1.692551,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",1.551195,1.692064,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",1.73031,1.691067,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",1.919024,1.691438,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",2.099929,1.691345,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",2.283437,1.690696,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",2.474753,1.691253,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",2.655658,1.690603,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",2.839817,1.690882,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",3.023975,1.690325,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",3.210086,1.690603,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",3.394895,1.689026,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",3.581657,1.689304,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",3.763213,1.688933,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",3.951926,1.689676,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",4.135434,1.689212,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",4.315689,1.687913,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",4.503751,1.688377,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",4.68791,1.687171,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",4.874672,1.686892,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",5.05883,1.686336,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",5.242989,1.6868,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",5.427147,1.686521,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",5.610005,1.684851,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",5.794163,1.684759,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",5.980925,1.684387,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",6.165083,1.683181,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",6.348591,1.682532,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",6.53275,1.681233,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",6.718861,1.68012,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",6.901717,1.679378,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",7.085226,1.677615,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",7.277193,1.678264,33.2034,33.2034,659.9834,653.8696
209,"2013-09-08","09/08/2013","14:40:28",10,"sa18148.00",7.456796,1.677429,33.2034,33.2034,659.9834,653.8696
