"sample","date","count"
"sa18148.00","09/28/2014",30
"sa18148.00","09/26/2014",30
"sa18148.00","09/10/2014",30
"sa18148.00","08/27/2014",30
"sa18148.00","08/24/2014",30
"sa18148.00","08/18/2014",30
"sa18148.00","08/15/2014",30
"sa18148.00","08/11/2014",30
"sa18148.00","08/06/2014",30
"sa18148.00","07/31/2014",30
"sa18145.00","05/07/2014",6
"sa18148.00","05/07/2014",12
"sa18228.00","05/07/2014",12
"sa18145.00","05/03/2014",12
"sa18148.00","05/03/2014",10
"sa18228.00","05/03/2014",8
"sa18145.00","04/27/2014",6
"sa18148.00","04/27/2014",12
"sa18228.00","04/27/2014",12
"sa18145.00","01/08/2014",17
"sa18148.00","01/08/2014",5
"sa18228.00","01/08/2014",8
"sa18145.00","01/06/2014",12
"sa18148.00","01/06/2014",10
"sa18228.00","01/06/2014",8
"sa18145.00","01/02/2014",2
"sa18148.00","01/02/2014",15
"sa18228.00","01/02/2014",13
"sa18145.00","12/29/2013",9
"sa18148.00","12/29/2013",10
"sa18228.00","12/29/2013",11
"sa18145.00","12/25/2013",13
"sa18148.00","12/25/2013",7
"sa18228.00","12/25/2013",10
"sa18145.00","11/14/2013",10
"sa18148.00","11/14/2013",9
"sa18228.00","11/14/2013",11
"sa18145.00","10/23/2013",12
"sa18148.00","10/23/2013",7
"sa18228.00","10/23/2013",11
"sa18145.00","09/27/2013",9
"sa18148.00","09/27/2013",9
"sa18228.00","09/27/2013",12
"sa18145.00","09/23/2013",13
"sa18148.00","09/23/2013",13
"sa18228.00","09/23/2013",4
"sa18145.00","09/19/2013",8
"sa18148.00","09/19/2013",12
"sa18228.00","09/19/2013",10
"sa18145.00","09/12/2013",8
"sa18148.00","09/12/2013",16
"sa18228.00","09/12/2013",6
"sa18145.00","09/08/2013",6
"sa18148.00","09/08/2013",12
"sa18228.00","09/08/2013",12
"sa18145.00","08/27/2013",12
"sa18148.00","08/27/2013",10
"sa18228.00","08/27/2013",8
"sa18145.00","08/24/2013",12
"sa18148.00","08/24/2013",9
"sa18228.00","08/24/2013",9
"sa18145.00","08/13/2013",14
"sa18148.00","08/13/2013",8
"sa18228.00","08/13/2013",8
"sa18145.00","08/10/2013",10
"sa18148.00","08/10/2013",9
"sa18228.00","08/10/2013",11
"sa18145.00","08/03/2013",11
"sa18148.00","08/03/2013",11
"sa18228.00","08/03/2013",8
"sa18145.00","07/19/2013",10
"sa18148.00","07/19/2013",8
"sa18228.00","07/19/2013",12
"sa18145.00","07/17/2013",13
"sa18148.00","07/17/2013",5
"sa18228.00","07/17/2013",12
"sa18145.00","07/15/2013",11
"sa18148.00","07/15/2013",12
"sa18228.00","07/15/2013",7
"sa18145.00","07/12/2013",11
"sa18148.00","07/12/2013",10
"sa18228.00","07/12/2013",9
"sa18145.00","07/11/2013",3
"sa18148.00","07/11/2013",12
"sa18228.00","07/11/2013",15
"sa18145.00","07/08/2013",9
"sa18148.00","07/08/2013",10
"sa18228.00","07/08/2013",11
"sa18145.00","07/02/2013",11
"sa18148.00","07/02/2013",9
"sa18228.00","07/02/2013",10
"sa18145.00","06/29/2013",6
"sa18148.00","06/29/2013",12
"sa18228.00","06/29/2013",12
"sa18148.00","06/17/2013",14
"sa18148.00","06/14/2013",15
"sa18148.00","06/07/2013",16
"sa18148.00","06/04/2013",15
